AU_ID,waterbody,huc12,n_samples,n_stations,date_range,Fecal Coliform (MF)_n,Fecal Coliform (MF)_exceed_pct,"Fe, Total_n","Fe, Total_exceed_pct",pH_n,pH_exceed_pct,DO_n,DO_exceed_pct,Specific Conductance_n,Specific Conductance_exceed_pct,impairments,n_impairments,impaired,"Mn, Total_n","Mn, Total_exceed_pct",Sulfate (SO4)_n,Sulfate (SO4)_exceed_pct,Hot Acidity_n,Hot Acidity_exceed_pct,"Al, Dissolved_n","Al, Dissolved_exceed_pct","Se, Total_n","Se, Total_exceed_pct"
WV-OGL-10-AY-42_01,Joes Creek,Headwaters Trace Fork,13,1,1998-05-28 00:00:00 to 2018-06-13 00:00:00,13.0,23.076923076923077,13.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,Fecal Coliform (MF),1,True,,,,,,,,,,
WV-OGL-10-AY-44_01,Rockhouse Branch,Headwaters Trace Fork,1,1,1998-05-07 00:00:00 to 1998-05-07 00:00:00,,,,,,,,,,,None,0,False,,,,,,,,,,
WV-OGL-10-BA-1_01,Straight Fork,Buffalo Creek-Mud River,13,2,1998-05-04 00:00:00 to 2018-07-03 00:00:00,12.0,25.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,"Fecal Coliform (MF), Hot Acidity",2,True,3.0,0.0,3.0,0.0,3.0,100.0,,,,
WV-OGL-10-BL-2_01,Meadow Branch,Middle Fork Mud River,12,1,1998-05-06 00:00:00 to 2018-06-04 00:00:00,12.0,58.333333333333336,11.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,Fecal Coliform (MF),1,True,,,,,,,,,,
WV-OGL-10-BL-3_01,Trace Creek,Middle Fork Mud River,13,2,1998-05-28 00:00:00 to 2018-06-06 00:00:00,13.0,30.76923076923077,13.0,7.6923076923076925,13.0,0.0,13.0,0.0,13.0,0.0,"Fecal Coliform (MF), Hot Acidity",2,True,4.0,0.0,4.0,0.0,4.0,100.0,3.0,0.0,3.0,0.0
WV-OGL-10-BL-3-C_01,Tincture Fork,Middle Fork Mud River,1,1,1998-05-06 00:00:00 to 1998-05-06 00:00:00,,,,,,,,,,,None,0,False,,,,,,,,,,
WV-OGL-10-BL-18-A_01,Valley Fork,Middle Fork Mud River,12,2,1998-05-26 00:00:00 to 2018-06-11 00:00:00,12.0,50.0,11.0,9.090909090909092,12.0,0.0,12.0,0.0,12.0,0.0,Fecal Coliform (MF),1,True,,,,,,,,,,
WV-OGL-10-BL-19_02,Sugartree Fork,Middle Fork Mud River,16,4,1998-05-26 00:00:00 to 2018-06-12 00:00:00,16.0,50.0,14.0,0.0,15.0,0.0,15.0,0.0,15.0,0.0,"Fecal Coliform (MF), Hot Acidity",2,True,3.0,0.0,3.0,0.0,3.0,100.0,,,,
WV-OGL-10-BL-19-E_01,Sand Fork,Middle Fork Mud River,12,1,1998-05-26 00:00:00 to 2018-06-12 00:00:00,12.0,16.666666666666664,11.0,18.181818181818183,12.0,0.0,12.0,0.0,12.0,0.0,"Fecal Coliform (MF), Fe, Total",2,True,,,,,,,,,,
WV-OGL-10-O_01,Little Cabell Creek,Merrick Creek-Mud River,12,1,1998-05-26 00:00:00 to 2018-06-05 00:00:00,12.0,16.666666666666664,12.0,8.333333333333332,12.0,0.0,12.0,0.0,12.0,0.0,Fecal Coliform (MF),1,True,,,,,,,,,,
WV-OGL-10-CC_01,Sandlick Branch,Big Creek-Mud River,12,2,1998-05-21 00:00:00 to 2018-06-27 00:00:00,12.0,66.66666666666666,11.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,Fecal Coliform (MF),1,True,,,,,,,,,,
WV-OGL-10-CH-5_01,Dry Fork,Big Creek-Mud River,12,2,1998-05-21 00:00:00 to 2018-06-28 00:00:00,12.0,16.666666666666664,11.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,Fecal Coliform (MF),1,True,,,,,,,,,,
WV-OGL-10-CH-7_01,Big Branch,Big Creek-Mud River,12,1,1998-05-28 00:00:00 to 2018-06-28 00:00:00,11.0,9.090909090909092,10.0,0.0,11.0,0.0,11.0,0.0,11.0,0.0,None,0,False,,,,,,,,,,
