,n_years,year_range,linear_slope,linear_slope_pct_per_year,linear_r_squared,linear_p_value,sens_slope,mann_kendall_stat,mann_kendall_p_value,trend_direction,significant,total_change_pct,early_median,late_median,avg_pct_nd
Fecal Coliform (MF),55,1970-2024,-25.600829725829726,-2.8612707347428596,0.14591068851947056,0.0040046934284396945,-25.0,-652,2.2903006133834225e-06,decreasing,True,-3.1666666666666665,1133.3333333333333,239.16666666666666,5.9060151482237835
"Fe, Total",56,1970-2025,-0.027580570745044424,-3.4620609957354733,0.6106468923789105,1.1893223723443681e-12,-0.025661071032186462,-1030,3.5282887722587475e-13,decreasing,True,-25.000000000000004,0.9733333333333333,0.25,0.6104938126100549
"Al, Dissolved",26,2000-2025,-0.0007336752136752138,-2.185057910143821,0.12622301157581567,0.07489544180562668,-0.00047222222222222224,-54,0.24272521740627484,decreasing,False,-34.343434343434346,0.06316666666666666,0.0315,24.754044658474285
"Al, Total",50,1972-2025,-0.01749752641181213,-4.100854601062185,0.6829034984590624,1.4673218886007382e-13,-0.01622727272727273,-792,3.675482140863551e-11,decreasing,True,-89.68253968253967,0.9391666666666666,0.10733333333333334,2.9671577677434504
"Mn, Total",56,1970-2025,-0.002300965481886535,-2.6454666526848216,0.6628287080803786,2.3503658623969193e-14,-0.00213961038961039,-1043,1.780797731498751e-13,decreasing,True,-67.66666666666666,0.15,0.04716666666666667,1.9496620032485903
"Se, Total",28,1974-2025,5.305044142013653e-06,0.31821173088342386,0.0029582170898331734,0.78340536802252,-8.654970760233917e-06,-104,0.04185877150835782,increasing,True,29.999999999999993,0.0013333333333333333,0.0010166666666666666,49.06088589505536
pH,50,1974-2024,0.014243978255238288,0.19283538103103307,0.5473464417446079,8.344299713802903e-10,0.013484848484848466,640,9.034514292238782e-08,increasing,True,4.620689655172414,7.099999999999999,7.666666666666667,0.0
DO,54,1970-2024,0.017234915588916978,0.18463050345213394,0.08081294440893806,0.0372229782420566,0.017058823529411765,325,0.01564170257684716,increasing,True,-5.898876404494386,8.866666666666667,9.375,0.0
Specific Conductance,50,1974-2024,1.6310454658259081,0.4775699091400726,0.02679613312819058,0.2559958605883443,0.8666666666666667,74,0.5414414999713666,increasing,False,37.890625,306.6666666666667,325.81,0.07407407407407407
Sulfate (SO4),56,1970-2025,-0.3200044429254956,-0.3916711757147081,0.01586993476063227,0.35488893558286405,-0.28411764705882353,-103,0.4709780803679853,decreasing,False,-81.7479674796748,146.66666666666666,80.66666666666667,0.10581088482796393
Hot Acidity,50,1975-2025,0.0970275976445683,3.0416174810209498,0.41331920086734003,4.797046767377227e-07,0.038461538461538464,572,1.7851998042051065e-06,increasing,True,-50.0,4.0,5.0,94.81359672655861
"Alkalinity, Total",56,1970-2025,0.964804853041695,1.4905270528641321,0.41338409690642486,9.134937009326602e-08,0.8933794466403162,739,1.8298531134774976e-07,increasing,True,-14.207317073170737,48.333333333333336,94.51666666666665,0.07340268628016697
Hardness,45,1970-2025,0.8569063030303031,0.7299349325517416,0.14577736229158353,0.00965242426049984,0.8024186991869917,285,0.005466452684930845,increasing,True,-33.575,130.66666666666666,139.48666666666668,0.0
TDS (Total Dissolved Solids),32,1970-2025,0.02604554249144218,0.012082594371211217,3.775101238378764e-05,0.9733762005544804,0.0328125,5,0.9482808409102057,increasing,False,-74.46043165467626,312.0,222.66666666666666,0.0
